hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p07_hook_left_main_001,0.20313944007224588,0.36171148536077036,0.24524988232094652,0.29747130424958773,0.24996435368328615,0.2760340973121688,0.07529002188483684,0.07493982281298346,0.04767597964165298,0.44840666909797067,0.7785134580498191
p07_hook_left_main_002,0.2267529281854297,0.3906415262379904,0.2835042527752635,0.3200659342946028,0.20206722990466047,0.29226892538390115,0.06931521392805311,0.068862407581404,0.047852432209555984,0.4443426928032544,0.8557367299713265
p07_hook_left_main_003,0.20383990619811287,0.3606435881527581,0.28094144083877876,0.3240329897781245,0.2558906894645662,0.2947283167971372,0.07501644881204451,0.07766746419333155,0.04775038272709532,0.4691513799667567,0.8452735743262535
p07_hook_left_main_004,0.2203339406779318,0.3858870033123666,0.292481826216338,0.331032534918,0.20408664543779081,0.34406979434257207,0.06958784557705609,0.0689250291794432,0.0476605090787538,0.5105448685356823,0.8568601391559083
p07_hook_left_main_005,0.23131121894681894,0.38110288178086527,0.29429675628701324,0.3068535406669361,0.21121903531539163,0.2235696381079609,0.07096832164073491,0.06953531467898662,0.04764123544595742,0.37892474492904216,0.8615408683829725
p07_hook_left_main_006,0.23692488866801212,0.4014838297510785,0.2923466365420757,0.33860522085443606,0.2012175579065601,0.28633202782257,0.06956787189666794,0.06898486051773152,0.047675669429805625,0.475557994046983,0.8560763943432254
p07_hook_left_main_007,0.22057939261114168,0.39280698038423356,0.29244519949882947,0.3450442786710255,0.19888619663549106,0.30033839210265717,0.06866273172547066,0.06786895611813897,0.04765023580396571,0.48113900023337336,0.8612275781630394
p07_hook_left_main_008,0.23178231155992365,0.39289500054813453,0.29724105851395555,0.3304444698413108,0.19736895913526573,0.28917838322311634,0.0685908938580462,0.06826076422794977,0.04766011578477806,0.46384869067119744,0.858436712692748
p07_hook_left_main_009,0.2112485695276741,0.38461811780940086,0.28455258322872246,0.32877245132457167,0.21037432373263001,0.22938001269526875,0.07029079553469245,0.06929043010408871,0.047633510089648036,0.4116697808345441,0.8289524630150653
p07_hook_left_main_010,0.20592427338550587,0.38278270917585316,0.2784357387442719,0.3294639699998411,0.1910942200751149,0.2031225091636541,0.0742231123427687,0.07310828373489754,0.04771557885985372,0.4197258230101064,0.7672128102167215
p07_hook_left_main_011,0.1998966456554951,0.34375295236196346,0.25282093400234873,0.319828754202779,0.25566453892906826,0.26997517763783974,0.07509189376693426,0.07998163363561306,0.04766353483642133,0.45381141690428606,0.790182308588957
p07_hook_left_main_012,0.23573136600279163,0.36930748389932677,0.2858779406074966,0.33908835659026915,0.18956585980742818,0.2917912591798631,0.06790126659163478,0.06695747175322318,0.0477147641567507,0.4628684537931383,0.8494528536444138
p07_hook_left_main_013,0.22912486427924858,0.3507312148389038,0.26777327750408936,0.315844687181401,0.22391114342849602,0.28310720846849147,0.07265144290629273,0.0775189601104872,0.047685975922971024,0.44703598231582625,0.8162140294903173
p07_hook_left_main_014,0.22654284719883747,0.3584651064942594,0.2802153147298204,0.33280987851538574,0.2375803965508354,0.26054295719012643,0.0747618686805072,0.0804457182003852,0.047806613472672274,0.4362814615294349,0.847897558399314
p07_hook_left_main_015,0.25000303125012413,0.3361140444969652,0.2747724825646343,0.21032196390433083,0.21094857429275984,0.16850895943203695,0.07245135925557092,0.07047002506636531,0.04765441891295403,0.33846924541574885,0.7144552087511431
p07_hook_left_main_016,0.20843261468973834,0.3459526991031988,0.2793448327254645,0.21296746673616238,0.22093126789673462,0.17216575361738543,0.07232207917669545,0.06989261068027879,0.04764864974821817,0.32657178796893077,0.728224438898921
p07_hook_left_main_017,0.2550577382579794,0.34315802283018715,0.28870590918529615,0.22600677924945184,0.20935160009971687,0.21720537881310045,0.07224683632202865,0.06976742143922154,0.04764658412387068,0.3808526160436084,0.7548776053395523
p07_hook_left_main_018,0.2567552162427686,0.3590163879299094,0.2801999074994609,0.34140066726701035,0.19100554819370358,0.3136030131091372,0.06757805746955403,0.06682002076039366,0.04768410519594218,0.48931230081865457,0.8462728445928429
p07_hook_left_main_019,0.2047580143844419,0.33490444813954345,0.25222674370368536,0.30221992394394576,0.2466351164656168,0.2702336574410711,0.07509153834938839,0.0832467383042921,0.047661144193217424,0.4354035343379354,0.7751666867701626
p07_hook_left_main_020,0.23353551010270937,0.37022604880196186,0.2775258301557142,0.3217789924270189,0.2261650085037903,0.2747560370971085,0.07267418177511763,0.07770898249176515,0.047753356200491,0.43431384944622653,0.8519982852007026
p07_hook_left_main_021,0.23648067574345397,0.3927875603668455,0.29189221857167535,0.3347061148407309,0.19521303861217593,0.2837006256025103,0.0686884185176935,0.06810317626198592,0.047648493512596785,0.4525216498126604,0.8641742252443544
p07_hook_left_main_022,0.21007375284654164,0.3565049379769981,0.27432807153054595,0.29543713517172576,0.24784262973816928,0.25682361129671394,0.07577084534446472,0.07255038633029354,0.04816018185083434,0.4315528867798887,0.8106037803083143
p07_hook_left_main_023,0.2240260307306249,0.3824634860274393,0.2857155817976544,0.2875816460782716,0.1927560484882021,0.27488360838521847,0.06903199464013483,0.06804243841720228,0.047634844434546145,0.4116974190357771,0.8327676618338299
p07_hook_left_main_024,0.18843879142933184,0.379819582896226,0.2914213414429302,0.2045595439145904,0.1852879678342326,0.1477125384852774,0.07231399964959845,0.07022593170590656,0.04765070912438411,0.35012000454703834,0.658338698161357
p07_hook_left_main_025,0.2632108689134237,0.38294969654328787,0.29501684726386807,0.2854338552868478,0.1907498344843918,0.3011358767311815,0.06936237232639933,0.06744812880808489,0.04764890545973991,0.4594411634003735,0.837663662281102
p07_hook_left_main_026,0.2396280002732764,0.3802411209220229,0.28851531031876004,0.30960150753035076,0.19200069841951228,0.27089775764393165,0.06782951943555293,0.06673493378887689,0.04772059600184745,0.41648748833026145,0.858382143520802
p07_hook_left_main_027,0.25768357200482894,0.3987215255207549,0.297626497855796,0.35093773580746657,0.1908299437642865,0.3071891059105136,0.06688172291216277,0.06538907236467133,0.047730305322718325,0.4956631638020289,0.881979241054186
p07_hook_left_main_028,0.24982969401218447,0.3786233150131792,0.2807944411315201,0.3379748097219071,0.21786129986866704,0.28096064350532113,0.07238483066298478,0.07602862037924467,0.0481611688520007,0.4492802177887226,0.8692063977282002
p07_hook_left_main_029,0.2603373773922674,0.37208813540337216,0.27461982482027436,0.3601792233182611,0.21750070793682616,0.27427854928788165,0.07242109702681428,0.07727336446590156,0.04846786631537027,0.46684981601731207,0.8626254793009794
p07_hook_left_main_030,0.2400639718195503,0.35617270031525766,0.2612993592487761,0.3355228875538617,0.22335885610510972,0.2632669482678665,0.07287614601181616,0.07173324498736246,0.04769713808502745,0.4493129969286156,0.8212363910939393
p07_hook_left_post_001,0.19955453374357393,0.3310250978568629,0.23200488925796697,0.295367060734806,0.24246627921198288,0.26731715079322677,0.07548240131201024,0.078376716941744,0.047664059532958894,0.4566746492936896,0.7171816609125921
p07_hook_left_post_002,0.21034854050678878,0.33097909906024325,0.260331908749784,0.20011041353635775,0.2279831735910604,0.17845469750615553,0.07264639286025464,0.07072159962538796,0.04764061419935332,0.33429271321069093,0.6907521176620359
p07_hook_left_post_003,0.2383572126239722,0.35437877172363763,0.29445530890723115,0.23229026992047602,0.21246505411958955,0.16743362631705883,0.0716391937887303,0.06961715263914847,0.047645081179157736,0.3434037557148616,0.757410899731753
p07_hook_left_post_004,0.2473964757469954,0.37881473098362667,0.29270650180434404,0.3418470359108988,0.19105851384718092,0.2784039937855294,0.06904482932289127,0.06699152470720003,0.04773549043868933,0.4692620973593192,0.8497668813360323
p07_hook_left_post_005,0.23069485071217435,0.3769181628784221,0.2867401395159101,0.35518037491284565,0.19027181184208858,0.2806449305176203,0.06773990366604175,0.06683856426453819,0.04774160178683876,0.4596777857603582,0.8627083507346904
p07_hook_left_post_006,0.24825398906074506,0.3276880565450907,0.2790945492280432,0.21107943234229123,0.21576073945693572,0.18062632969091752,0.07264456046753595,0.07027573377047373,0.047646348101905094,0.34874032626624335,0.7177910540163619
p07_hook_left_post_007,0.2621819591453588,0.3215505755144522,0.26339039526232966,0.21747578193581613,0.21388234042839302,0.17142151492088037,0.07245681856038469,0.06924968289613577,0.04764189656975994,0.3591244544834609,0.6937492556926019
p07_hook_left_post_008,0.2616652751454295,0.34960078672669653,0.2819400172019673,0.3282610487844547,0.19268870062122695,0.24222543370694344,0.06842713874531021,0.06636715468566023,0.04764192398677978,0.431774993976476,0.8201677306320226
p07_hook_left_post_009,0.23029537713372594,0.32847488734456104,0.2655986001620426,0.28785916081384005,0.23675993148189917,0.21950058809456618,0.0756360204917117,0.07182144482422796,0.04768584619791986,0.4378602782085042,0.7340476258915536
p07_hook_left_post_010,0.22927330862462916,0.3370374962425978,0.2590843502744512,0.3239460482505597,0.15672758949483404,0.1624704304670353,0.07303886903518866,0.0747532335749806,0.04769683632563696,0.4309950729763867,0.6459440865493085
p07_hook_left_pre_001,0.20698125589183342,0.39205930303134123,0.2650805030068694,0.2709453985325679,0.24724929612109,0.26433946625585664,0.07529734113405712,0.07357054559127188,0.047765596360807294,0.46287208836068344,0.7659732343362099
p07_hook_left_pre_002,0.19568693166565557,0.3616003465094487,0.2722013813227669,0.22988377709930594,0.22552839696315274,0.2440024618950515,0.07309070997663619,0.07225218649584791,0.047679845768089694,0.37787913707595944,0.75720287110494
p07_hook_left_pre_003,0.208475291052339,0.38426942439990996,0.2810243929531778,0.23435349470524533,0.19765821473438583,0.28169998950298153,0.06796158103655121,0.06852999009224055,0.047959894854351384,0.43890692707877543,0.7490187644905674
p07_hook_left_pre_004,0.1627052730514726,0.3708872268432634,0.2584709570001977,0.19366092486784553,0.1908679717667513,0.2747967617799134,0.06731575946697588,0.06715000915389176,0.047633094509211105,0.42851724711267647,0.646811314067434
p07_hook_left_pre_005,0.18222244353404654,0.36016366165419295,0.2669617332242898,0.1946013687606274,0.19644323436911987,0.31199366177056476,0.06719062043635561,0.06836142337317545,0.04764178754227358,0.4086604701414155,0.7270718718147011
p07_hook_left_pre_006,0.20252230091849555,0.41758420784577266,0.31454084331530224,0.32418734011313555,0.20302602108935525,0.3000220216029188,0.06840397542059214,0.0705646649095927,0.04815776159616934,0.4939212172323888,0.8478584377099863
p07_hook_left_pre_007,0.1814452192333188,0.34973086055602953,0.2743884356094863,0.2306363590938419,0.22706430619255352,0.22169037590213972,0.07293628647111403,0.07194475496063503,0.04764502092803528,0.38059997656816147,0.7188474335816873
p07_hook_left_pre_008,0.20494175221571292,0.37253928484112403,0.2723907524776633,0.25121225891170373,0.22844952734670826,0.21579000932809392,0.07292881033675196,0.07160521832472508,0.047667352004146825,0.3871473192670293,0.7561697647150154
p07_hook_left_pre_009,0.2410308478497316,0.3576303141714533,0.2718926236784287,0.25386601941589787,0.21498715735985002,0.22268730514015003,0.07244584981610862,0.07148208914219263,0.047701304527844816,0.3960837816261083,0.7580075218636677
p07_hook_left_pre_010,0.22345455777784345,0.40106503044765757,0.28624259440157773,0.32404442833419483,0.19457980304739855,0.3189892392039372,0.06867489284456074,0.06833772070725216,0.04801734417778007,0.4914970767026716,0.8409022593256607
AVG,0.22457869697392513,0.3666114183514288,0.2780145783795967,0.29153593241633835,0.2118649470759207,0.2545254150447025,0.0713369336642296,0.07125187247561665,0.047739274107626996,0.42858100935122473,0.7939786672937857
