uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p05_uppercut_right_post_006,0.171590276,0.404372356,0.234129268,0.26040925,0.235738347,0.256279421,0.051155762,0.048439542,0.047620309,0.490678627,0.711229793,0.645064443,,
p05_uppercut_right_post_007,0.224249805,0.469412503,0.242772247,0.234091381,0.25633898,0.289145427,0.054849283,0.051082606,0.047625304,0.472094226,0.827204688,0.72067155,,
p05_uppercut_right_post_008,0.185672742,0.429119366,0.274875493,0.286380164,0.279510295,0.255756274,0.052622466,0.050020865,0.047757646,0.492744682,0.833669606,0.731392129,,
p05_uppercut_right_post_009,0.234498554,0.412125316,0.219500109,0.237507477,0.230126821,0.270790714,0.053668132,0.047911871,0.047620971,0.436289579,0.778095037,0.675553399,,
p05_uppercut_right_post_010,0.177045982,0.412363208,0.204323698,0.241875854,0.206038482,0.269895882,0.054977733,0.047858473,0.04761955,0.38923914,0.762652049,0.650628177,,
p05_uppercut_right_pre_001,0.202108572,0.441002371,0.24843914,0.245138097,0.276032976,0.285816635,0.05166878,0.047934426,0.047633989,0.592452326,0.716609862,0.679362601,,
p05_uppercut_right_pre_002,0.212281584,0.407525414,0.215812309,0.199334139,0.230226497,0.274668504,0.052623744,0.047781237,0.047622506,0.55806333,0.60417688,0.590342815,,
p05_uppercut_right_pre_003,0.178453232,0.415643548,0.260725945,0.246693529,0.272230127,0.266335353,0.051258985,0.049446476,0.047638402,0.543025703,0.726094137,0.671173607,,
p05_uppercut_right_pre_004,0.222955536,0.44182228,0.297099759,0.269798375,0.277663791,0.268390328,0.051315396,0.049084351,0.047696541,0.572518794,0.801253162,0.732632851,,
p05_uppercut_right_pre_005,0.174191895,0.40997677,0.28403646,0.25591344,0.256669189,0.239904536,0.050611921,0.04885988,0.04762295,0.557865654,0.698086516,0.656020258,,
p05_uppercut_right_pre_006,0.18433721,0.388109574,0.211732739,0.183075648,0.201771174,0.262504073,0.052124949,0.047765195,0.047619992,0.536569773,0.534650421,0.535226227,,
p05_uppercut_right_pre_007,0.210445745,0.441185789,0.195041004,0.183055093,0.227178964,0.277562679,0.055751061,0.048967771,0.047620165,0.45666884,0.688130685,0.618692132,,
p05_uppercut_right_pre_008,0.18811807,0.437644808,0.268462486,0.279714679,0.294651964,0.251472433,0.050866758,0.049178069,0.04780961,0.52832735,0.806314982,0.722918693,,
p05_uppercut_right_pre_009,0.17124506,0.402868766,0.27847609,0.254963619,0.262682605,0.253155937,0.051480314,0.049303378,0.047626151,0.562147432,0.701805359,0.659907981,,
p05_uppercut_right_pre_010,0.221957468,0.411645896,0.213188752,0.223734314,0.204574552,0.262219268,0.052265233,0.047811227,0.047620526,0.427623002,0.739606653,0.646011557,,
AVG,0.191102491,0.408974239,0.24551075,0.243530017,0.239212205,0.246453215,0.052655246,0.048561513,0.047640585,0.484370762,0.717877777,0.647825672,,
