hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p06_hook_right_main_001,0.375650159225413,0.49441710650333437,0.11705263715130956,0.30666181595558506,0.27898492356475424,0.20911270050531217,0.05422963578633488,0.054182340001317456,0.04844502617871462,0.4605161012462561,0.8176581294102858,0.710515520961077
p06_hook_right_main_002,0.36585623937782624,0.4868880837765494,0.1114380179377759,0.33475156552290136,0.2814115057652872,0.23918418282686432,0.05021043185644377,0.04909353312305378,0.048424651042733066,0.5042575277037169,0.8282814322593088,0.7310742608926312
p06_hook_right_main_003,0.34236353555502913,0.40329600591289355,0.11685609504334171,0.30839446645940455,0.19740170662048961,0.1726596975491415,0.05163258889193537,0.04801221287552499,0.04763027220229598,0.4214161504846718,0.690407445975731,0.6097100573284132
p06_hook_right_main_004,0.34235420941060235,0.426598230079299,0.09725003517087757,0.32067402885125124,0.20543463129452322,0.1625037603812406,0.052140727981767596,0.04992714632024845,0.04762607628974689,0.4191807653734171,0.6951448964326075,0.6123556571148503
p06_hook_right_main_005,0.3651351393150142,0.4897055532819854,0.10171163574207898,0.34778953428443404,0.2819741933541772,0.24406912437223868,0.0501903713351375,0.04933369073840878,0.049834776063452345,0.49697780687319754,0.8454804999279472,0.7409296920115223
p06_hook_right_main_006,0.36099307614737564,0.4832173581747535,0.11055276819912152,0.33725991550307016,0.2565186473453093,0.24788474401959304,0.05205213740811758,0.04870693817041678,0.04875030464280835,0.4991853626997285,0.8137555119446863,0.719384467171199
p06_hook_right_main_007,0.3083307422224069,0.4105535731408464,0.1188246283913742,0.31228954767085726,0.19635817864267738,0.13799609519709383,0.05099708313653872,0.04796551349683339,0.04762608304464975,0.4092530473564951,0.6588140617055952,0.5839457574008652
p06_hook_right_main_008,0.3640187624375677,0.4507015005798453,0.11945705120652717,0.3166882585438552,0.23564227986195446,0.20769581510177532,0.05226740615126811,0.048446906706872316,0.04774624348243521,0.4472940563989455,0.7808917424876334,0.680812436661027
p06_hook_right_main_009,0.3668561913585374,0.48754647152994535,0.10034760686899209,0.3481105749105556,0.2979986122898377,0.2662948762726118,0.050435694365723115,0.0495507884428071,0.048681017124112734,0.5319774071933087,0.8481357537589004,0.7532882497892228
p06_hook_right_main_010,0.3483569185298682,0.48183978618370443,0.10921461045394798,0.3579226806540875,0.29715979161236217,0.2601484245831234,0.05066297091852704,0.05042940231666396,0.049012444783152066,0.5182618332763395,0.8598479750060308,0.7573721324871234
p06_hook_right_main_011,0.3442153123787674,0.46990810402028294,0.11758361224421188,0.34550836064534035,0.27997248815909004,0.23637895238876663,0.05037487114829901,0.04879535286726454,0.047938225749753836,0.5152810989492922,0.8134480310289751,0.7239979514050702
p06_hook_right_main_012,0.3325671989566502,0.4171130339234675,0.11853211625517761,0.31378971357790286,0.23532760766728328,0.15379970924279984,0.05183127098416566,0.04938244356263173,0.04762154870419334,0.3947050831384672,0.7259913922411034,0.6266054995103125
p06_hook_right_main_013,0.3545709453304369,0.49433391330935084,0.10960597574629563,0.3506059462972236,0.2841219360636197,0.2564775581551376,0.05041810152386644,0.04922945079699104,0.04923300552363229,0.5230007820707552,0.8428368710712074,0.7468860443710716
p06_hook_right_main_014,0.2670910111089958,0.38389691909402285,0.12715582860915828,0.25999176951300146,0.13842086915057378,0.12404872521752344,0.05186790265654103,0.048068728633292306,0.04761935266214364,0.4062591289803458,0.5064933113635626,0.4764230566485975
p06_hook_right_main_015,0.3486838469550536,0.4422736085809958,0.11611997245612067,0.3109267837795807,0.2290101715157921,0.24690835166693553,0.05353268061688577,0.04869076612996909,0.04763626082574303,0.4593529288996274,0.7772010618322372,0.6818466219524543
p06_hook_right_main_016,0.37106110809522563,0.48671754062876965,0.09637367655864007,0.3473081305262437,0.28607395573057726,0.2609818398348938,0.049982090925650875,0.049159579022052764,0.04823529430105659,0.5209685720724848,0.8393749047553817,0.7438530049505125
p06_hook_right_main_017,0.29363271603556707,0.4002418422051381,0.11985715020706982,0.2914718155075269,0.1870648820138923,0.1603744203659959,0.05139021258331038,0.04859697546047852,0.04762228132622754,0.4067405595150732,0.6404151744218927,0.5703127899498468
p06_hook_right_main_018,0.36682361211076114,0.4898581586135881,0.11211644287603102,0.35016121274005807,0.2936533839667187,0.2534391099268165,0.05080920081722015,0.048752563839636824,0.04854730084392916,0.5358207217427207,0.8424735148086829,0.7504776768888942
p06_hook_right_main_019,0.24827750927588726,0.30531157286055033,0.08276370279931985,0.17340712634371358,0.08705633136120275,0.1404372533917006,0.04931683143795581,0.047678554295599675,0.047619155898372754,0.35076310665416266,0.35247712134856723,0.35196291694024584
p06_hook_right_main_020,0.3443960086617624,0.4376957163513481,0.11163505067763801,0.29337484155545346,0.21204483021629777,0.1503204655484097,0.053369538291412236,0.049106925709670936,0.047621371558167196,0.38752860225934144,0.7120590703300229,0.6146999299088185
p06_hook_right_main_021,0.36003975024296897,0.4780937116447971,0.11673911222116032,0.3436064446020598,0.3114008432576457,0.25405968063907847,0.05083448564666913,0.05000902820828327,0.04824231669451146,0.53751970978746,0.8455879304248054,0.7531674642336017
p06_hook_right_main_022,0.35763323610574715,0.4893527126149677,0.12099461781317641,0.33199864352843245,0.2781096793623158,0.2049224965063794,0.051227876443849685,0.048922419540223964,0.04802695313920175,0.4736036979361698,0.8266315727153215,0.7207232102815759
p06_hook_right_main_023,0.3747601389528531,0.48235847288416683,0.1244032697242966,0.3280424636900065,0.2929321041376503,0.24146809123597154,0.053684413306111144,0.053991608604873384,0.05122953429725845,0.4906352875683167,0.8532842354644782,0.7444895510956296
p06_hook_right_main_024,0.38159202259845326,0.4889768095238682,0.11359623882951471,0.32615469504682937,0.2469804413429813,0.2614469076611609,0.051261477104549424,0.04969567141640775,0.048548236311928325,0.49413994615637424,0.8295431287707518,0.7289221739864384
p06_hook_right_main_025,0.3589375096686437,0.49255768995397115,0.10544428137587589,0.3449403056791446,0.28888146061874076,0.2640328391033529,0.050377531147269825,0.04861469805117748,0.04811581494603467,0.520449288423652,0.8494036773513297,0.7507173606730263
p06_hook_right_main_026,0.333849368480111,0.4162497950008171,0.10456220420535718,0.3047802991245747,0.19902970924521113,0.19726992770061455,0.052469403872190665,0.04810218236245402,0.047626130784544175,0.3902257284671079,0.7287835422771253,0.62721619813412
p06_hook_right_main_027,0.36698087382023326,0.49162678143269556,0.12470739012374026,0.33883985875026246,0.29426678641261084,0.2941601753320775,0.049790078199671954,0.049457231363078294,0.04836136005813454,0.5453116608450447,0.8750082362637467,0.7760992636381361
p06_hook_right_main_028,0.32199067637526635,0.42255555006511447,0.11818892807890358,0.3005485714569087,0.2037507916711366,0.18466279512988973,0.05336727989463967,0.05003938183445374,0.047627940652993014,0.41386324053039864,0.703169309281547,0.6163774886562025
p06_hook_right_main_029,0.3413534537466939,0.5054108459251921,0.11930518600153661,0.32956053261195717,0.313761094160442,0.16782346450564872,0.06491822470679146,0.057137060932480103,0.04956834896888623,0.4496487089326452,0.8291114179364715,0.7152726052353235
p06_hook_right_main_030,0.30187928901933414,0.4235218816479402,0.10649243006950049,0.2921923455612044,0.14239094950816067,0.11139245857070275,0.05125091052803697,0.048064004580423765,0.04762043411817779,0.3718237820935321,0.5937163283733055,0.5271485644893734
p06_hook_right_post_001,0.3363850386176275,0.4888062778200652,0.09381707487786065,0.3407537472031289,0.2799220492265876,0.2554166296842958,0.050436667557669526,0.049252021137911633,0.04818114956946208,0.48566747901218416,0.837174610331415,0.7317224709356458
