jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p04_jap_main_001,0.29211299311327427,0.49579444026068453,0.33211052533588425,0.2863732818142316,0.2329289337575128,0.19240358398063961,0.04849468418643658,0.04799660319035854,0.047621030818639005,0.514162294137565,0.8689969125321323,0.762546527013762
p04_jap_main_002,0.24745394465738882,0.47747310189814735,0.2992072873219652,0.25033412772090663,0.21708440572595472,0.18659329980959288,0.048893627211880834,0.04872736239942769,0.04761935099224319,0.5033853519691316,0.7587939346515773,0.6821713598468435
p04_jap_main_003,0.28361240352532774,0.4791055911527359,0.3340479183795993,0.24567159813381415,0.21235691748729696,0.234204797923777,0.04803537630585432,0.04853014552399061,0.04762011203581692,0.4859859350717525,0.8660412160861759,0.7520246317818489
p04_jap_main_004,0.2489671661304674,0.46960577060903297,0.2595386511106573,0.2633620320772877,0.21988607308630517,0.23408686518985822,0.04902456741053482,0.047961394403856036,0.047660363086000135,0.4645723548355547,0.8176856269434077,0.7117516453110518
p04_jap_main_005,0.24521317209628885,0.4943319682269266,0.29036305678249513,0.2706183905788102,0.2290993636467092,0.28391771780867386,0.04847282204301484,0.04817968782964237,0.047620645441191496,0.5116496010901748,0.8773863508289556,0.7676653259073213
p04_jap_main_006,0.24850461349741065,0.49041395862940584,0.31364565573801106,0.28323509253558,0.24472869156331517,0.28230068594199553,0.048763636685972035,0.04938467509705428,0.047632589364024105,0.5400563823960614,0.8960154328103052,0.789227717686032
p04_jap_main_007,0.24805726088213942,0.49417800638619314,0.3191206648107673,0.28414816572638146,0.23796062872602436,0.29640837746227994,0.04827722755855389,0.0483806649626322,0.047664440121094144,0.5438174636255626,0.908085092714878,0.7988048039880833
p04_jap_main_008,0.22512265783345006,0.4774827509780084,0.29455186144601486,0.2587017524365178,0.25270674135464016,0.23627391510447643,0.04807309979487472,0.047955040594207486,0.04763060366069176,0.43414113657587083,0.9035854204488951,0.7627521352869877
p04_jap_main_009,0.22989712882167118,0.4815577073820513,0.2681789184216753,0.2687478965958626,0.2355825035199338,0.2416598693156889,0.04863574426365027,0.04785535654958353,0.04761926302049253,0.4573888699512426,0.8595725100784344,0.7389174180402768
p04_jap_main_010,0.233310414248492,0.48704471011881134,0.2672305782163482,0.2531689745757496,0.22473975510972205,0.25803144154770513,0.049348405705914346,0.048504112658527235,0.04761922533024249,0.4837677003606705,0.8265463464279597,0.7237127526077729
p04_jap_main_011,0.234192643270318,0.48402384599598236,0.2999571007870503,0.2650173608190101,0.22515017534270557,0.2601334420561794,0.048905540712283486,0.04789919011135145,0.04762190274439295,0.46674687884089466,0.887725357728048,0.7614318140619019
p04_jap_main_012,0.22923395204067623,0.4803084388678669,0.2722422798925832,0.26686989572470904,0.21994531242087242,0.2159391567484342,0.048968427792124694,0.04841521000923289,0.04762017402324603,0.41497397819229853,0.8604002028878736,0.7267723354792011
p04_jap_main_013,0.22590504492078306,0.48604003139131347,0.30640044299262864,0.25474844901375365,0.2261206939372113,0.23209602297780307,0.048600004230065386,0.04782938340384589,0.04762375046217195,0.4403485149422014,0.8798386181512822,0.747991587188558
p04_jap_main_014,0.2277562469999171,0.48097150725489685,0.31683666462664595,0.2544812317671575,0.22797068904207535,0.24315352825224829,0.049058529364157076,0.04781811100928267,0.04761953012208897,0.4717177059054764,0.8684630273919199,0.7494394309459869
p04_jap_main_015,0.23749627411056448,0.4840640290440291,0.2773266108875586,0.26489067726653254,0.21175434497603832,0.22836751328621663,0.04854266108709079,0.04782380910597058,0.047620156252904736,0.4164498713333451,0.871813910061518,0.735204698443066
p04_jap_main_016,0.2571999163684847,0.49753152708197346,0.34905449418559337,0.2741265849822962,0.22630733306347248,0.28028545952698536,0.048905193641691845,0.0488165453258451,0.04764619568595136,0.5427428107357356,0.9046102111994417,0.7960499910603299
p04_jap_main_017,0.2465416138784131,0.4975771527994294,0.3596666616330177,0.27060869292841205,0.23101615719211663,0.24555662747147658,0.0497955188841714,0.049060286608387606,0.0476485345693206,0.5259316383251589,0.8908884527633095,0.7814014084318643
p04_jap_main_018,0.2402122122940941,0.5044652527286256,0.35088201792542845,0.28892638824121386,0.2244769990570914,0.2866203376832522,0.049166163341998095,0.04849243567368396,0.04762375805664652,0.5693645344758427,0.895878780839994,0.7979245069307486
p04_jap_main_019,0.2331202466412309,0.4715324764645333,0.2776069466875982,0.2560351924316634,0.23071086466748641,0.22872921234282764,0.04864011557060738,0.04784379571707596,0.04762227072686346,0.39314071027303715,0.8964503357269346,0.7454574480907653
p04_jap_main_020,0.24302342547655487,0.49476062654385417,0.3464868940874535,0.2716978278339633,0.22248715061243018,0.26658367660332,0.04814153310675261,0.04898079604132726,0.047627866706548595,0.5223036154924775,0.8971018230362298,0.784662360773104
p04_jap_main_021,0.2377646550887283,0.4881182394079511,0.36204579295911665,0.2698834072733443,0.22913383510381716,0.23462516874120895,0.04842810433620176,0.049395998917987904,0.04763153761813086,0.4988729034823403,0.9015638333394591,0.7807565543823234
p04_jap_main_022,0.2416571245410673,0.5025351434633498,0.3313389125492967,0.27379232481847693,0.2362534657387247,0.2891904477222005,0.0483485617578849,0.04895231976667024,0.04767871294916353,0.5471751088672372,0.8982275022886588,0.7929117842622323
p04_jap_main_023,0.23843576983512707,0.4730675471485199,0.2922822038722665,0.25582464876979605,0.2301714234543252,0.2231438311778077,0.04837663460370291,0.04787270486741033,0.04762072674525964,0.43541991752972403,0.8683436992503976,0.7384665647341955
p04_jap_main_024,0.234688567078201,0.4971062330225709,0.29755481380293614,0.27699301802815696,0.23550973197307362,0.2836314409754829,0.048198682294127826,0.04895029911618072,0.0476255688779182,0.5196450465429973,0.8841218532895067,0.7747788112655538
p04_jap_main_025,0.22877164895724528,0.46065412663312627,0.24584869626159317,0.2587375661928743,0.22943641178984767,0.20971762133812613,0.04823459137791927,0.047921367139783,0.04762335780392889,0.40648656497571933,0.831876188948181,0.7042593017564425
p04_jap_main_026,0.2587578208388314,0.4939407028123826,0.3380326583225781,0.25889635604538996,0.23633659083481467,0.2599802210779142,0.048421587502315615,0.04890720155668179,0.0476577977392163,0.5091902349214448,0.9033456484331214,0.7850990243796183
p04_jap_main_027,0.2682841406078691,0.48253826443697034,0.3452882375155541,0.2669345607826868,0.22545871418574465,0.25949488508692625,0.04820791061150775,0.049329998157006,0.04765260294510436,0.5171786793225281,0.8992574725347521,0.7846338345710849
p04_jap_main_028,0.2611319672625671,0.4992967893955643,0.35726329070218454,0.2629057195801888,0.23992956942605162,0.26786709613195736,0.048146595469796015,0.04863009567782208,0.04769638680270734,0.5491603596585789,0.9017424338763873,0.7959678116110447
p04_jap_main_029,0.255525802420717,0.4924615428362077,0.3064585815324449,0.2848952287508649,0.2352175314934522,0.26820108556426,0.048789839706334756,0.04875851229299497,0.0476261703076018,0.5302739654323625,0.8835133679706407,0.7775415472091572
p04_jap_main_030,0.2301276381891153,0.4728228197916174,0.2732361094622421,0.2465451532287287,0.24331470352563006,0.2376867599105709,0.047868376098558645,0.04792355452955407,0.04761990385922326,0.4159200742826618,0.8823332932647662,0.7424093275701349
p04_jap_post_001,0.2780693031955058,0.46390872608988987,0.2888139093181889,0.27447413578347823,0.18700710058776107,0.1928801821888416,0.04936313343072206,0.04779634058436317,0.04762071790437536,0.5010332322875427,0.762675474987492,0.6841828021775072
p04_jap_post_002,0.20093593659748574,0.3776949031439784,0.22199710285778726,0.1959074274985252,0.1440627043010089,0.14376348528011174,0.0483050912493919,0.04786693047207142,0.047619067622442994,0.5002668939345998,0.4375391478174887,0.45635747165262197
p04_jap_post_003,0.27601749802631315,0.49764228963744284,0.35772434526530117,0.2960960437453215,0.2390638581599231,0.27860216973121305,0.048938555922982005,0.04826628341642782,0.04763370914643856,0.6014290598239144,0.8991255921764872,0.8098166324707153
p04_jap_post_004,0.2655623587268329,0.4872353301391971,0.34206322237918113,0.3142548826225803,0.22545150628337982,0.26768167119802877,0.050640780648850955,0.04876775358822828,0.047619945263746764,0.621849893914202,0.8456884071446037,0.778536853175483
p04_jap_post_005,0.27808204878047527,0.4802937787406538,0.351006039353284,0.31529960994420714,0.23187515546895893,0.21137349096686017,0.04833512303206361,0.047822171931751145,0.047620067475704415,0.5636413258147843,0.8717795437123945,0.7793380783431114
p04_jap_post_006,0.23056155152847743,0.4772429651854583,0.3167192630556099,0.2655789086383651,0.22895462051143634,0.2578997899473624,0.048604595579236895,0.047750674831127785,0.04761909432309143,0.5422277738915846,0.8255551219876297,0.7405569175588161
p04_jap_post_007,0.2539727125195389,0.49483288112978946,0.33156179333911207,0.28421907508391087,0.23033398898407445,0.2772303474373613,0.04973791902134245,0.04995485635828022,0.04762110689729638,0.5988771806241382,0.8418550737139567,0.7689617057870111
p04_jap_post_008,0.19242349036085088,0.44558272785745245,0.2869927554694446,0.21060508352777205,0.2138384523024547,0.24089166876470774,0.04949552165341659,0.04801965773064619,0.04761914479988984,0.47564626933802767,0.7344376635320513,0.6568002452738442
p04_jap_post_009,0.22554589252351906,0.47768535205498974,0.3111511971239797,0.24418637806044,0.2290369688922806,0.2514541036972032,0.049199451720165696,0.047775751692234684,0.04761919475131245,0.5047732122393184,0.8267545986155961,0.7301601827027127
p04_jap_post_010,0.2642701978988455,0.4868734481961763,0.32015700704557193,0.2735167600317089,0.24082349028870667,0.25940297412669866,0.048749921907942445,0.04854914101827005,0.04762151844363955,0.5382182624937432,0.8760504518303097,0.7747007950293396
