hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p17_hook_right_main_001,0.19704138221961415,0.3479248215201835,0.1890820798749381,0.23380611806690532,0.13882872795492465,0.1054741233523295,0.05016677737978702,0.04781464715131315,0.04761926373213273,0.3647193489197725,0.5105000706375002,0.4667658541221819
p17_hook_right_main_002,0.22197070957905676,0.38482382040448987,0.20419943997945983,0.26227761871500455,0.169951311783477,0.11131724179642448,0.0509845164608696,0.04807853308082544,0.04761907933105632,0.4165028170728256,0.5704361932947636,0.5242561804281822
p17_hook_right_main_003,0.2653418471380137,0.4032101096480433,0.2157430803389222,0.27182933983424873,0.17013132429020814,0.11301460799736356,0.051196355277308,0.048126736933652714,0.04761936350141357,0.4261282092688399,0.6183785506403003,0.5607034482288622
p17_hook_right_main_004,0.18430928452888481,0.3716105798009224,0.16350103429305451,0.2818206683904152,0.1169374438136888,0.12086050496638215,0.052037304871996974,0.04791079511913053,0.0476196265817609,0.3959744436903746,0.5003059932623264,0.46900652839074086
p17_hook_right_main_005,0.20884747576399088,0.3965194030617921,0.19793853985405074,0.28413100060588736,0.16828999443328482,0.11336569822938877,0.05063693487379996,0.0480689059803631,0.04761932049300689,0.4130965317127112,0.5894781034171694,0.5365636319058319
p17_hook_right_main_006,0.2136929352663906,0.39192322051298173,0.20610572609794625,0.29737695255397545,0.15043713263016514,0.11352442064175294,0.05078969434770276,0.04795996116126646,0.047619271057798264,0.42140780770698827,0.5861076678374886,0.5366977097983385
p17_hook_right_main_007,0.23645468111587392,0.3610210634756627,0.25617758660933615,0.18795540671018104,0.08917387257507688,0.1524069171017917,0.052189530863005026,0.047991641238055945,0.04761951146177572,0.3873116538410161,0.5466936681736764,0.49887906387387826
p17_hook_right_main_008,0.21883570824142834,0.3428034534074248,0.23518037670024922,0.16827648987686167,0.0809277201270184,0.14311570241915597,0.05152113117649172,0.04800352225509795,0.04761948837652275,0.38477164105989703,0.4734175156595931,0.44682375327968427
p17_hook_right_main_009,0.16737539011122404,0.3345038209606017,0.16043683033552902,0.26499061741479474,0.10737964903643502,0.07349544013533335,0.0494738711997197,0.047746928152659386,0.04762000861802301,0.36751002909546215,0.4241378788480881,0.4071495239223003
p17_hook_right_main_010,0.24015307489178336,0.4609019537864862,0.3104064862195511,0.30831294753981037,0.20381428773416457,0.1125708043757692,0.04988667768993536,0.049139842323756934,0.047980479158214094,0.534158350849546,0.685845944379698,0.6403396663206524
p17_hook_right_main_011,0.12412370526149208,0.3050650453201655,0.15129102210861126,0.21544737949974832,0.12835453648623701,0.05907779034308067,0.05023196664302994,0.04808861030856203,0.04761905838705015,0.42549302602305195,0.27516786374097224,0.32026541242559614
p17_hook_right_main_012,0.26015882962996956,0.4595964908904898,0.32688748908806325,0.30695678922173564,0.2136464009657677,0.12708562005193436,0.0520342731938353,0.0533781719051856,0.048159950692384934,0.5445320797739435,0.7205465625425473,0.6677422177119662
p17_hook_right_main_013,0.2332339798529533,0.4201631700842718,0.22300218890470508,0.2657155416932637,0.13728198301458291,0.1312668076700582,0.0500531935486954,0.04791267888654939,0.04761931689260482,0.37282338695864325,0.6538596453954221,0.5695487678643884
p17_hook_right_main_014,0.2660539638095301,0.4880567421769905,0.3287141312935046,0.30542926245360824,0.21308029808426426,0.12441091683215097,0.051615706300043834,0.05059535601076675,0.04804315982426031,0.5144138217037095,0.7709423953385707,0.6939838232481123
p17_hook_right_main_015,0.24112247061027925,0.39235443576259055,0.20251985451656873,0.29351216324567025,0.1535044029154166,0.09841995047590113,0.0510107935280657,0.04794712886503415,0.0476196970770387,0.41702008243766775,0.5879121814885503,0.5366445517732855
p17_hook_right_main_016,0.27429790950361693,0.4767426133384399,0.29928202586921404,0.2520821135202613,0.19131719344048842,0.15380611487829104,0.05128207047417649,0.04914267970434553,0.04763409581838974,0.46266734818232863,0.7540299047669473,0.6666211377915616
p17_hook_right_main_017,0.26657804664993223,0.47991010735188694,0.297305151051924,0.3074732466192094,0.22310969202792474,0.12739055612332312,0.055987636972668724,0.05455776672902155,0.04799481910934952,0.5505296949422224,0.7051332738636927,0.6587522001872516
p17_hook_right_main_018,0.22519570717620496,0.39632316713993465,0.20235420751411345,0.28505117806856173,0.15164290122624777,0.1065162347623821,0.05120132701883063,0.047965706980865365,0.047619304569879554,0.4238043661851025,0.5674397130036998,0.5243491089581205
p17_hook_right_main_019,0.21305757733603606,0.3664401456595264,0.17872562073651754,0.281575013150721,0.12182674330820194,0.09729664115492545,0.05159025496715317,0.0479008771658649,0.04761985768123716,0.38631771070869264,0.5203870809525553,0.4801662698793965
p17_hook_right_main_020,0.26769651795806987,0.462790795243779,0.2896249557509952,0.29138080698815905,0.21885282689503643,0.13512131272534392,0.05263549328861136,0.0536711811639494,0.04768768124094432,0.5229264913689207,0.7088434937698945,0.6530683930496023
p17_hook_right_main_021,0.2697345765186988,0.48303429257152536,0.31947842212169514,0.30947690875469086,0.21995916647043287,0.14586709627536415,0.054033948562190875,0.04979090967382376,0.0482386378968987,0.590810311942138,0.714529677306373,0.6774138676971024
p17_hook_right_main_022,0.21139622287111784,0.37771613238843316,0.17991519791605806,0.28441661518095485,0.11642173294441963,0.1207749039452632,0.05131028847539653,0.04794692524935634,0.04761945707208928,0.38637390714803893,0.5469782108599711,0.49879691974639145
p17_hook_right_main_023,0.24621098613750547,0.4634380750457474,0.2827201324073222,0.2825711326986376,0.2093889467513824,0.13412446634977138,0.05542404500877128,0.05386437117526323,0.04764383005413694,0.5255481772454706,0.663897122798159,0.6223924391323525
p17_hook_right_main_024,0.258339642661086,0.46539873937881737,0.28473458992216627,0.28495164965323433,0.20816680851263386,0.12689755537083208,0.05382215043337664,0.049382865765550336,0.0477848497094717,0.507355468543982,0.6949879892553014,0.6386982330419055
p17_hook_right_main_025,0.22255898167671945,0.4013827551142297,0.21533032122843387,0.2707481300573783,0.15759838530819475,0.10741149751750627,0.052710047290296096,0.048224936549096285,0.047619274768584886,0.3950705401133726,0.6055944639280203,0.542437286783626
p17_hook_right_main_026,0.25805500418747035,0.48203206035660495,0.3506771048119688,0.30443360216957593,0.22382613922671474,0.15678490546279922,0.05418197115937671,0.05108132914077098,0.04829722570950697,0.6010887268049119,0.7361479771467875,0.6956302020442248
p17_hook_right_main_027,0.2005253524548407,0.363425725695517,0.1774294628652851,0.28829821214075385,0.11973417109631752,0.09832637388332853,0.052285617722655796,0.04792659579542324,0.047619256556120544,0.3825786438812683,0.5208308128280743,0.47935516214403245
p17_hook_right_main_028,0.2574254365522009,0.4638375074941023,0.2833311808954227,0.2958135324167248,0.1988662767998096,0.15064140748749572,0.05319884355362022,0.04895041628303775,0.0476468924479147,0.5355829649203236,0.6904865648798525,0.6440154848919938
p17_hook_right_main_029,0.20780276771710207,0.38229483034858086,0.1846989268944862,0.2776423536897793,0.11720919774922148,0.1107659300918797,0.05159190562051375,0.047873139895695936,0.04761936294145719,0.3914032390624429,0.5276867514781213,0.48680169775341775
p17_hook_right_main_030,0.20258269348726757,0.3666326087907953,0.1838952123680037,0.27864343620484844,0.11932619952429084,0.10851760468805996,0.05162019063242708,0.048042986163109994,0.047619290665324214,0.392830975453433,0.5184590635417072,0.48077063711522494
p17_hook_right_post_001,0.2838345471532945,0.46627675514367206,0.25463524617970024,0.2697003629862749,0.1688885414891613,0.10989006677618744,0.053199409652202614,0.04931815917631369,0.04763717428870229,0.5092552791389376,0.6084181143552079,0.5786692637903268
p17_hook_right_post_002,0.23482024329360618,0.3838058769327882,0.19436383931704165,0.27488279312805164,0.12738110698452598,0.11227852905720428,0.05314204685568785,0.048031040110419546,0.047619323849067474,0.3955415816661304,0.5601542487916087,0.5107704486539651
p17_hook_right_post_003,0.2440572933322483,0.39384426312313914,0.19747573325394335,0.27098964427209565,0.12121203934983762,0.12198181230570992,0.05379712568648713,0.048040774405807604,0.04761916865479944,0.40319579132986344,0.5647573364552392,0.5162888729176265
p17_hook_right_post_004,0.22324489539083237,0.3451106763542442,0.15845477878404252,0.25964790327598025,0.08458120656763493,0.10505775543333122,0.051849598581445874,0.04795697260499407,0.047619194853979654,0.3605595064113313,0.47156034609324504,0.4382600941886709
p17_hook_right_post_005,0.2847137258747686,0.49097225171128595,0.2763979515796082,0.25970472711982756,0.17117495337742877,0.12767517668518433,0.05235965090748261,0.05298112150349687,0.04763387473233592,0.5015746453465135,0.6578073578124426,0.6109375440726639
p17_hook_right_post_006,0.22589218913365902,0.3960161057271493,0.2340702229258455,0.27698213917471276,0.1853804879105266,0.1172898884675007,0.05493955217145447,0.04904684803451294,0.047651136970314256,0.48122686232086814,0.5741302180774346,0.5462592113504646
p17_hook_right_post_007,0.20672949498911236,0.36628808968559334,0.1838278359608761,0.27898154277511483,0.10239171440889998,0.1146329590297307,0.05194897147307074,0.04788777585011263,0.04761930214123397,0.37984761344728,0.5202485432451394,0.47812826430578154
p17_hook_right_post_008,0.2151570115870612,0.38842144530792594,0.18783347426094638,0.28108389132536143,0.11329432679493064,0.11746591997203801,0.05138063471525179,0.047932724896447905,0.047619299176904134,0.38752886614186455,0.5476958199726109,0.4996457338233869
p17_hook_right_post_009,0.23658517055788525,0.42314009793052565,0.28114048702710426,0.28917141362847654,0.1960252342176925,0.12127069929606646,0.054374452505354096,0.04846718459275587,0.04763863607363385,0.4944523262415876,0.6498201515399614,0.6032098039504492
p17_hook_right_post_010,0.2249111174966759,0.3759494491215759,0.2086554009851247,0.2917011981235472,0.127323492177267,0.11726576068334585,0.052298259642471756,0.04813416854454761,0.047619557143384734,0.4133404454799995,0.5696837858939586,0.5227807837697709
p17_hook_right_pre_001,0.2301357299585433,0.4642998621659776,0.28156607616514984,0.29603805261025534,0.2027990696765693,0.12683953945515952,0.05433408191719311,0.050041964465142925,0.0476489656819087,0.47967451159014807,0.70623926739868,0.6382698406561204
p17_hook_right_pre_002,0.212023468559338,0.4024274409796266,0.2218842804273482,0.2642653250646282,0.16204633333874022,0.10758598782923823,0.05163513030392373,0.04789643138110152,0.04761927185470654,0.3986231142790361,0.6002422856669286,0.5397565342505608
p17_hook_right_pre_003,0.20857754759730263,0.3901945657116077,0.20947258800963803,0.2749897347684575,0.17417860972378824,0.1029870173502927,0.05182528489630698,0.04803458445077892,0.047619235263402074,0.4002522866294159,0.5977575096858821,0.5385059427689423
p17_hook_right_pre_004,0.1972903504988699,0.37475903837685876,0.1929062718078872,0.24319920262837558,0.16789445300447303,0.09118548720337638,0.05090449955913687,0.04793419156779527,0.04761918460651997,0.37891510542040996,0.5388518133967859,0.49087080100387304
p17_hook_right_pre_005,0.2138096071368151,0.37463403046772364,0.18642576438214617,0.2493661922118498,0.1366358499579427,0.10085084271060711,0.050361293801355934,0.047890139378306947,0.04761924390395525,0.3666285133691496,0.5413324313764557,0.48892125597426384
p17_hook_right_pre_006,0.2663955484904773,0.47629234792356534,0.2848113533014544,0.29364773269099553,0.213931983768269,0.14436123871078727,0.052289107913683165,0.05326601527167907,0.04794103132070769,0.4988029796656491,0.7430933834583806,0.6698062623205611
p17_hook_right_pre_007,0.19637836567445266,0.37488233576570346,0.20180570671861725,0.2549891008134579,0.155871825694223,0.09673149414154218,0.050027760476091844,0.04786447223469413,0.04761921359223914,0.36932945417802393,0.5644825225638905,0.5059366020481305
p17_hook_right_pre_008,0.212520736263711,0.36409915236619145,0.1903314536743949,0.24555267295705555,0.15322405105542286,0.09887489674355973,0.05057649313166522,0.04788000223241446,0.04761922368030854,0.3632761201016038,0.5502958715899957,0.4941899461434781
p17_hook_right_pre_009,0.3711789968918968,0.4422537004916046,0.3099377169454093,0.28896300627887306,0.17909741463559525,0.13471362662861114,0.05122149110787538,0.04934154020430966,0.04796055403224068,0.48904761654436263,0.7697799241979598,0.6855602319018805
p17_hook_right_pre_010,0.3270470855869779,0.40567198027918694,0.21659406367195522,0.25318759199203533,0.15367724962605683,0.09073150716067963,0.05197128663322872,0.048067628316064245,0.047619357779366066,0.3724742077625841,0.6480070101827751,0.5653471694567177
AVG,0.23350951972751766,0.4078243430459393,0.2314655724789266,0.2731888090992205,0.1587199082177003,0.11678638705491069,0.052022813009314425,0.04902199772058179,0.04770084762052118,0.43768597247363705,0.5994704055358081,0.5509350756171569
