straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p15_straight_main_001,0.3535152785430884,0.457831540189208,0.22570106587135735,0.3062480325105475,0.31340789902865807,0.2638127948737658,0.04862196974112625,0.05669548286039678,0.04989907121321498,0.5677876996224136,0.879688376829548,0.7861181736674077
p15_straight_main_002,0.3289709224918769,0.47978001098066636,0.18972391634062974,0.31391211174865186,0.2962106501243025,0.2384458894430593,0.04912356776069447,0.053907612711739376,0.04918877905172421,0.5763742584816665,0.8082361772613245,0.738677601627427
p15_straight_main_003,0.33672381285641007,0.4681174696220259,0.16714841564613367,0.3114559815388776,0.28298724973001965,0.24265887824827823,0.04860814425812551,0.053023526706836854,0.048746334527224586,0.5820067912048781,0.7715780224827272,0.7147066530993724
p15_straight_main_004,0.3610368325783406,0.4782036995365676,0.17346432687128477,0.3089882545975877,0.3099978061400237,0.26422567057449187,0.04863623770314694,0.053898933428416444,0.05062609311453893,0.6008684586899369,0.8172407912462861,0.7523290914793813
p15_straight_main_005,0.3590257855374096,0.47799769687467697,0.1998445988674884,0.3051750617080675,0.3199490550061053,0.26730655948933835,0.04950424197063084,0.058001777875915775,0.05420523876402901,0.5994105248912188,0.8418016412584266,0.7690843063482642
p15_straight_main_006,0.3511857952559591,0.45717695893978627,0.24953622532953074,0.30515164464418965,0.3037563878014476,0.28169231758148855,0.0489150991532446,0.06199408381505712,0.051514181302761,0.568299326079159,0.9007519274995432,0.8010161470734279
p15_straight_main_007,0.3400941765239331,0.4651633574314399,0.16003232787497393,0.30383045264441877,0.27652130615282317,0.22764171681338938,0.04860359199692594,0.05125814899519427,0.048289157938093755,0.5828937676195524,0.7380534944983287,0.6915055764346957
p15_straight_main_008,0.34663046700762346,0.4673029475000027,0.16989600141457287,0.30377954899721726,0.2862414352644541,0.2352289824369306,0.04856649925855851,0.05255620215981358,0.04860723932615708,0.5919766314685456,0.7571179040418546,0.7075755222698619
p15_straight_main_009,0.34450756352364753,0.4804942599784159,0.1909732273705849,0.30288873155011187,0.29792462031448114,0.2426524134415457,0.048682613178055924,0.053870278449417865,0.04971359860842869,0.5675898182850247,0.8199335810389533,0.7442304522127747
p15_straight_main_010,0.3463115382893969,0.4724081678092693,0.17906332383319773,0.2994079834763894,0.29669545606051156,0.2466673559425548,0.04873409653936901,0.052196416666112896,0.04837129309817174,0.5811898318351605,0.7950197308323675,0.7308707611332054
p15_straight_main_011,0.350050324532289,0.4669875281875283,0.16722104660680645,0.29897657411927786,0.2975612866339093,0.2434081472768182,0.04866082534243055,0.05267772297652849,0.04944470176755785,0.5933456903553874,0.7694051225122422,0.7165872928651857
p15_straight_main_012,0.3436145742245625,0.47020760915447235,0.16746669833043473,0.3025778312646451,0.29711768813267464,0.2324314164884079,0.04867510319836685,0.0515558132826271,0.04844793971447906,0.5956857440451289,0.7569560508024421,0.708574958775248
p15_straight_main_013,0.35179460147770303,0.4853278433177281,0.19359604312832832,0.30855185993438566,0.3265586338211977,0.268425657073765,0.05018619570134233,0.05685713129538296,0.052752879697891025,0.611807922394274,0.8355814947193958,0.7684494230218593
p15_straight_main_014,0.3167948499991698,0.4462664585705138,0.1495475987704224,0.2874534605612985,0.2768413454738652,0.21828017327755544,0.04919538117306804,0.05010787970187508,0.04792441061415797,0.5690987962706247,0.6949057258321554,0.6571636469636961
p15_straight_main_015,0.3479512527764189,0.4764610415773614,0.23989803869290016,0.3053286741218188,0.3031495124321971,0.2537198926769329,0.048685329526214925,0.056560919502962985,0.050060109905437154,0.5822904029650737,0.8657184478708049,0.7806900343990855
p15_straight_main_016,0.2935358766333603,0.3382208837594711,0.09214915709368515,0.24956051145677685,0.23209572682762936,0.22823415776397243,0.048379249585150635,0.04802089697258022,0.04762674306414454,0.4740361945601482,0.5923612180354978,0.5568637109928929
p15_straight_main_017,0.352568278855967,0.4903019022007917,0.19757701272695968,0.30173926770343656,0.3368116279148276,0.26703327732719606,0.04859853903346407,0.0570608452658025,0.057690291149336735,0.5898857593736941,0.8603541732591272,0.7792136490934973
p15_straight_main_018,0.3484153990562664,0.4737144014091569,0.1795061472918669,0.31114929393342494,0.3109986642896231,0.22816512010801793,0.048657626998987284,0.05355268214942237,0.04962053238483964,0.574255528102919,0.8082315900792592,0.7380387714863571
p15_straight_main_019,0.3406813123492829,0.4753696078626601,0.15216621503776004,0.2978816085745587,0.2989147329304749,0.21626940371210898,0.048538721100204345,0.051948152059476504,0.04835056110452833,0.5740766843148752,0.748058216846972,0.6958637570873429
p15_straight_main_020,0.34357573694689253,0.486814692648892,0.22422366923411285,0.3057511172115709,0.2974406272923985,0.23263086409324152,0.048633159829290534,0.05503148512725559,0.049889856819867066,0.5777871827929916,0.8343229422791227,0.7573622144332833
p15_straight_main_021,0.3354410620416469,0.49220733327136656,0.21842014359025308,0.3054955167704788,0.3035043755544046,0.24887195190617772,0.04953260961656572,0.05308236146828248,0.04887020761218374,0.5906284031805928,0.8397705015114928,0.7650278720122228
p15_straight_main_022,0.3381546388753759,0.4723635359568165,0.19489729011814153,0.30041897452411137,0.30270080354704165,0.24167728031321412,0.04930747237535299,0.05453548552967919,0.048724502753042624,0.5649418785104856,0.8191011220498148,0.742853348988016
p15_straight_main_023,0.32800480442019,0.46356861498509555,0.2256181306427405,0.29518346661314343,0.28925936101496125,0.22502271899854415,0.048713597401267655,0.054980661360631546,0.04847336435825858,0.5490488994531544,0.8206403135345118,0.7391628893101045
p15_straight_main_024,0.33033297841674125,0.48950795930451835,0.17521738870801845,0.30788121151356684,0.29791190673464396,0.23683762927663427,0.04858714970838095,0.05474258244909038,0.049329984080328654,0.5836167461616947,0.7864540458957469,0.7256028559755312
p15_straight_main_025,0.3158247649314004,0.47160723121504333,0.14720693967441686,0.29295213995418,0.2696978682201502,0.20256753599632757,0.048524021547720245,0.04999497856218919,0.047858379859947356,0.5565869702385682,0.7008031943988875,0.6575383271507916
p15_straight_main_026,0.34172989267272835,0.4756661689182405,0.1525874930223067,0.306061371712845,0.3203381061065805,0.23349191157809585,0.04860744959966049,0.054425546552047135,0.052151473192561394,0.5816174371449765,0.780468666164102,0.7208132974583643
