Hook,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p04_hook_left_main_001,0.23292074720662065,0.4675714244738818,0.2957517297990731,0.26788725173705713,0.21889168506540732,0.24646905385749768,0.07293983866988304,0.07684248414139187,0.047688690361455593,0.40090131628926395,0.8663612389285699
p04_hook_left_main_002,0.21848326141489158,0.4378542057607179,0.2538011109662718,0.2778567767740653,0.1609834237639823,0.2213492458070608,0.06637155773309204,0.06642614417385802,0.04762655698135543,0.3923955610462591,0.7607122459363639
p04_hook_left_main_003,0.2075120521481723,0.44346032992749906,0.2595226141854419,0.2407166980986549,0.1782676458474631,0.18884555040627277,0.06980370432628101,0.0683231642657881,0.0476337830191519,0.3495550635381494,0.7452670334003179
p04_hook_left_main_004,0.20871491335984982,0.4287061612050757,0.250398471022366,0.23110293945405508,0.1658118676762807,0.18548067629026552,0.06803182386000557,0.06689461320420233,0.047626153383294734,0.34680828742686376,0.7120206452481651
p04_hook_left_main_005,0.23534665156719678,0.4450246568682445,0.2447251156888667,0.27350205302944264,0.16167989677836903,0.23727817719502578,0.0662868683656471,0.06575306779455034,0.04764107233169542,0.3949544412905654,0.7728376980887038
p04_hook_left_main_006,0.2108117087322458,0.4786598150077591,0.2841845500300143,0.28303309112743785,0.19804146526778474,0.23513477865748644,0.07458757140006672,0.07213579763511142,0.04771180302548962,0.42705041178300923,0.8117473427874732
p04_hook_left_main_007,0.2206370361395435,0.43398391841701234,0.2840595800419012,0.2870718117844387,0.19967163254680892,0.23753213503750975,0.07298543632206093,0.07346685298480661,0.04764048287913624,0.40839619080697387,0.8194652677034081
p04_hook_left_main_008,0.23614328050752356,0.42880537885114756,0.2576681672949726,0.25573884996108465,0.1746961170842739,0.2352574066393419,0.06793842045748708,0.06689941724418833,0.04762880101037199,0.36375087779238957,0.7987547883901388
p04_hook_left_main_009,0.23115070413349498,0.42407613747060224,0.24134745512275407,0.25394062484513097,0.1712448716539972,0.23753508895176875,0.06586715838878845,0.06782512450596594,0.04769013022681496,0.351289349981032,0.7900566424529057
p04_hook_left_main_010,0.23543151326348336,0.44842998212026786,0.2676935634024966,0.21920756770167676,0.1920064414306661,0.24294637397915997,0.06930427606904492,0.0687348778415626,0.04781330199227879,0.3312271418976622,0.8357453968033048
p04_hook_left_main_011,0.22649707079065529,0.42699010710080687,0.28658296723836907,0.27298301677365494,0.19318626505658684,0.23932276279704504,0.07193543435979266,0.07216517370200186,0.0476603919140874,0.3806026467422729,0.8333005248419594
p04_hook_left_main_012,0.2208239552484213,0.44569961987807555,0.30422659708768096,0.26975220920461696,0.20343454995939206,0.2631342953522537,0.07012314550947872,0.0708330783710879,0.04786650760702613,0.3992225365865307,0.8716877489671333
p04_hook_left_main_013,0.22103534883530482,0.4775625280194615,0.2898781861226728,0.26872456834693736,0.20866628099450613,0.25309822421542716,0.07270694077794027,0.07354480709592004,0.04767669686336656,0.39244346888480075,0.868893540356804
p04_hook_left_main_014,0.2275897754363838,0.44023899295036956,0.24046908854965374,0.2569875430340503,0.1699319623273703,0.24738498460951003,0.06614243067596237,0.06598879671205203,0.04767573020386416,0.34483616133881734,0.8143129326228694
p04_hook_left_main_015,0.22327335139676316,0.4622712160505481,0.3012726005748407,0.266026503213154,0.20484719349241387,0.26189348945299185,0.07301141966682181,0.07466344955871525,0.04787447792238594,0.39377363466479515,0.8736880254351528
p04_hook_left_main_016,0.21448778139022076,0.4570196579045246,0.29824989650209754,0.2557265872230441,0.18671792723289823,0.2094454168862963,0.06793300131361857,0.06781273020537364,0.04762416325991562,0.359696749464679,0.8318048868575029
p04_hook_left_main_017,0.22793779584145338,0.45016689050728464,0.32087982551992245,0.27133107138745743,0.20156125771054628,0.2621852790052305,0.07067709317857471,0.0724228274961552,0.0477090304811333,0.4230618522383014,0.8674062505506861
p04_hook_left_main_018,0.21724277807391928,0.46338522444821056,0.3039789182527244,0.21675026991253632,0.19881338111163913,0.19383784607337642,0.06977037163352878,0.06917441793218544,0.04763582799512331,0.3293888477809965,0.8239103818475932
p04_hook_left_main_019,0.21524188636723754,0.45471104586408606,0.2637181814317535,0.21676831074202202,0.19097827156626285,0.16382515532576997,0.07012460858211586,0.06940049168273169,0.04762979004037851,0.3068298225983915,0.7666406886351367
p04_hook_left_main_020,0.2289822265031781,0.45732409226195686,0.26925727884139394,0.2486563935786818,0.17817955107719557,0.25456247441472957,0.06596736834348753,0.0672351248258554,0.048010022441438496,0.37445770443821336,0.827178198925341
p04_hook_left_main_021,0.2182994728032402,0.448520153507317,0.2663873051556013,0.26327094575459276,0.16843697987463713,0.2449892055942648,0.0656335621225152,0.06570779608728088,0.04783793611393674,0.3754542225958158,0.8123626329582352
p04_hook_left_main_022,0.21491338753503514,0.46493697844728066,0.27173800197679465,0.24520170166688887,0.18884481816504078,0.2252463906167434,0.06945963465107674,0.06918083500235188,0.04806072854219258,0.34866102385881315,0.8251972620570394
