Uppercut,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p04_uppercut_right_main_001,0.24792426919505495,0.4310192435024575,0.29736882901076117,0.2632432448810704,0.13981892390231818,0.17841110380881864,0.060073467461309336,0.05484689743683714,0.04761938158402762,0.5523102189271636,0.5901523113867021
p04_uppercut_right_main_002,0.17860360944743725,0.37007666607570666,0.24642819911533817,0.22705819583166326,0.12359606521327719,0.14704274183757096,0.055323206000638926,0.04805058700276123,0.04762013137798845,0.4253186796988285,0.5226212238524669
p04_uppercut_right_main_003,0.1970183851577491,0.4309515196924096,0.2548887042425591,0.2429492773595853,0.18208984866398845,0.17491694122405244,0.05644972447476044,0.04801031896198055,0.04765135725078583,0.460484853481076,0.6403525522038743
p04_uppercut_right_main_004,0.17069944474064985,0.38782767098197446,0.22026546984303125,0.2575989817465555,0.14383157833865057,0.15176296781243898,0.054753163875963906,0.047939522981135706,0.0476200128070107,0.4107583969586339,0.5790007702939681
p04_uppercut_right_main_005,0.172688034119669,0.4032598404350418,0.2459061567546268,0.2704374200359169,0.14709806049844204,0.1853730480590931,0.05462828459499587,0.048423980984650325,0.047626486923161855,0.4643303625199856,0.609353103401435
p04_uppercut_right_main_006,0.20424324807114586,0.4498824059916662,0.27480160400554116,0.2597780780981753,0.19112347490101705,0.17559012771965088,0.05419773500770051,0.04802560794509606,0.047688194799036424,0.4697710762647878,0.6949137800975645
p04_uppercut_right_main_007,0.1734390718981383,0.40607452660310417,0.28457686792549886,0.2697368318930913,0.1378467673017302,0.1693931741877374,0.05355075906997906,0.05141245094781065,0.04761929782536421,0.47787051441433165,0.6026523760373147
p04_uppercut_right_main_008,0.20501469712461576,0.4444534717529269,0.2785386489647982,0.2677295219875896,0.18892410686088257,0.16975632139123253,0.05211723275636383,0.04791507467726249,0.04767622834415085,0.48515844263382785,0.6820369910209582
p04_uppercut_right_main_009,0.22495444731589337,0.44330658000271334,0.3321254237007275,0.29048924705651785,0.189019458411267,0.20564195634182703,0.05931290443421385,0.05251430098668029,0.04784166192003346,0.4815806210267781,0.7934910056061677
p04_uppercut_right_main_010,0.15749454452358416,0.387441529332231,0.290347284845349,0.26850562805290074,0.12677241770980077,0.16518947108662696,0.05691271951273683,0.05059605193380443,0.04762314018787631,0.5110221633130523,0.5379610532487051
p04_uppercut_right_main_011,0.23064211206725682,0.4390057933229947,0.32114596790523514,0.3274143772178106,0.18943747494345403,0.18670679688410502,0.055969380368575475,0.052975145814763855,0.047957655785941675,0.5091870263628431,0.7771796717531275
p04_uppercut_right_main_012,0.21370171023773948,0.4414277036714699,0.3425998476269174,0.2961602741774175,0.17755482698458297,0.19728269934718995,0.06099432262253575,0.05426495905734623,0.04763431112919808,0.5244149996318059,0.7352239359299801
p04_uppercut_right_main_013,0.21681932886850946,0.47056462934471466,0.31141531286297247,0.30384027131718067,0.19304016711657387,0.1948219291941894,0.0589949625856902,0.055414790373675124,0.04767666077524736,0.511020923057313,0.7577040554588628
p04_uppercut_right_main_014,0.23295426262696864,0.507378605744772,0.3328022259244056,0.30787239474892947,0.20402166504116562,0.21681324061635535,0.059366095226045724,0.056947571325282415,0.04803619151425634,0.5184764802620938,0.8354216046899369
p04_uppercut_right_main_015,0.19337204363516647,0.41642496661589573,0.30527286511664303,0.300592304273389,0.15714782959740645,0.1830005810075847,0.050048889198469206,0.04924416695073756,0.047622472473465634,0.5002430639055645,0.6885445287928053
p04_uppercut_right_main_016,0.20043568526522884,0.4457228132928795,0.32506181506132525,0.30265358039649365,0.17602325596905438,0.19304105982586825,0.056018689870082176,0.05223515190809466,0.04763086523243311,0.5104419522585577,0.7402853380671235
p04_uppercut_right_main_017,0.18262108007129557,0.4157424733569126,0.23215818137060623,0.30318587114694295,0.15959679161352172,0.1789590970551202,0.05496221092036297,0.04778592234369365,0.047621442190290623,0.4251100626007032,0.6862632439403283
p04_uppercut_right_main_018,0.20164761769779008,0.44452806657378596,0.307016736635346,0.29833867207384557,0.16659646318131716,0.20124291739800118,0.053688719433203254,0.04968039656062458,0.04768851953509791,0.4672010004663093,0.7679141484725084
p04_uppercut_right_main_019,0.17154367904068563,0.40891369351964524,0.2960899710060021,0.2745638562757812,0.15760818557997208,0.19929632484092927,0.0552082035766293,0.05031218598500299,0.04762139000366199,0.49409859925182786,0.6519998524683913
p04_uppercut_right_main_020,0.22809593317513221,0.4813508294863135,0.31489122483829607,0.2891498755487226,0.21106268824653074,0.19807104724548097,0.05203897490051473,0.048106979437024217,0.04829566987494839,0.4955151381291019,0.8119184853509532
