Column,pre,main,post
LShoulder,0.21005586024300799,0.2545229463859739,0.2561912585823449
LUArm,0.19769065679196643,0.1933632934400831,0.19525595075319396
LFArm,0.26082006360824644,0.2715120615404889,0.2459301765830489
LHand,0.1527169929906314,0.14787780129249165,0.13456653518283845
RShoulder,0.3391550729149176,0.3568291564196036,0.35927927362361756
RUArm,0.12344268235595042,0.1321651058031265,0.12269183016627554
RFArm,0.16796674721334962,0.17223001226521337,0.1633519403473808
RHand,0.1839157139928229,0.1826146782506561,0.19132188803843148
LThigh,0.15950324974371966,0.19531337652589995,0.1927998479184144
LShin,0.21992800204270466,0.32342579157250195,0.308121691080924
LFoot,0.20689328902592746,0.33549863290801335,0.32863700052013434
LToe,0.13628060968017483,0.18224232720404873,0.18009304254379038
RThigh,0.17293850640786795,0.1892715619003133,0.18749171726723762
RShin,0.19649411326495975,0.24870172499397933,0.235639547045226
RFoot,0.26223283033895795,0.3528030969274167,0.3363304407863862
RToe,0.1877487385326894,0.20140050276138555,0.20002436405117502
Hip,0.9312658260020878,0.9747826952960644,0.9671624050492438
Ab,0.3340760646164057,0.37285833707651533,0.3653092362988678
Chest,0.33521870603183207,0.37084126487553337,0.36216947239400354
Neck,0.2526656296053695,0.3112139596786383,0.31047327370655264
Head,0.2379989360209413,0.3079286671189951,0.3118939488193281
Acceleration,0.04839530087491363,0.04867537207767143,0.04876636213829359
Velocity,0.049291247929491314,0.05322162198201168,0.05224499943950809
Position,0.04762939676904167,0.047668271517914675,0.04766324912972493
Joint Angle,0.366619821450201,0.5680230469687853,0.5358343105691693
rotation,0.8389428400153303,0.908163899536092,0.8967999694471953
Overall,0.443286118392186,0.47791608552700343,0.4722316092884601
