File,Column,Pre_Avg,Main_Avg,Post_Avg
hook_left_p02_Global_hook_left_003_similarity_matrix,LHand,0.103549634,0.088360855,0.066373814
hook_left_p02_Global_hook_left_003_similarity_matrix,RShoulder,0.17108838,0.16182694,0.133318879
hook_left_p02_Global_hook_left_003_similarity_matrix,RUArm,0.27697613,0.256507463,0.233257081
hook_left_p02_Global_hook_left_003_similarity_matrix,RFArm,0.168179441,0.149783393,0.116495331
hook_left_p02_Global_hook_left_003_similarity_matrix,RHand,0.146421621,0.150172695,0.123666021
hook_left_p02_Global_hook_left_003_similarity_matrix,LThigh,0.142685366,0.136206122,0.111211668
hook_left_p02_Global_hook_left_003_similarity_matrix,LShin,0.263137506,0.277831113,0.260354803
hook_left_p02_Global_hook_left_003_similarity_matrix,LFoot,0.200850167,0.216079835,0.202181111
hook_left_p02_Global_hook_left_003_similarity_matrix,LToe,0.102810369,0.114045022,0.09836788
hook_left_p02_Global_hook_left_003_similarity_matrix,RThigh,0.136241344,0.129004056,0.10970598
hook_left_p02_Global_hook_left_003_similarity_matrix,RShin,0.238894427,0.223769021,0.210690535
hook_left_p02_Global_hook_left_003_similarity_matrix,RFoot,0.189011472,0.219984039,0.163522537
hook_left_p02_Global_hook_left_003_similarity_matrix,RToe,0.076340205,0.072153765,0.049687974
hook_left_p02_Global_hook_left_003_similarity_matrix,Hip,0.861618522,0.873810256,0.860113547
hook_left_p02_Global_hook_left_003_similarity_matrix,Ab,0.266219669,0.282068075,0.270348477
hook_left_p02_Global_hook_left_003_similarity_matrix,Chest,0.280301183,0.288823684,0.275221193
hook_left_p02_Global_hook_left_003_similarity_matrix,Neck,0.210857945,0.197019812,0.153108935
hook_left_p02_Global_hook_left_003_similarity_matrix,Head,0.17877079,0.159557126,0.115915616
hook_left_p02_Global_hook_left_003_similarity_matrix,Acceleration,0.072176107,0.066293659,0.065632423
hook_left_p02_Global_hook_left_003_similarity_matrix,Velocity,0.061204743,0.060612161,0.059370895
