Column,pre,main,post
LShoulder,0.23517904576206566,,0.24856573835016346
LUArm,0.12937467590438861,,0.12535050175411952
LFArm,0.23378915730677896,,0.24149407674544507
LHand,0.1241324622979435,,0.1361891243628855
RShoulder,0.3165963461094396,,0.31595796712049873
RUArm,0.15594503622669462,,0.15769739058669063
RFArm,0.1461911961825492,,0.15391329457932204
RHand,0.10740263916328305,,0.10797028737214213
LThigh,0.17644521761714804,,0.18693162963349114
LShin,0.21497748705863176,,0.21956242292399392
LFoot,0.29933379963851947,,0.3235261575209844
LToe,0.17621114387780618,,0.1885026928405712
RThigh,0.17930441445429218,,0.1831294790342084
RShin,0.24276659872688078,,0.24725850634475366
RFoot,0.3470742250167573,,0.32951955185693915
RToe,0.1787006967680676,,0.17230512436516005
Hip,0.9459214978938618,,0.9614868630708889
Ab,0.3464977444627732,,0.36417595669949104
Chest,0.34328824093285587,,0.3618688880062041
Neck,0.282973392124105,,0.3088810981859884
Head,0.27152651510504006,,0.2949583548596304
Acceleration,0.057730325422318166,,0.05977123003010783
Velocity,0.052230461720026135,,0.05336619482465284
Position,0.04766233930226233,,0.04774144095860785
Joint Angle,0.48943212273326847,,0.5081218926904068
rotation,0.8060655089643847,,0.8279962571909174
Overall,0.4268639241333235,,0.4378688490747626
