Column,pre,main,post
LShoulder,0.2745133244607606,0.27393321789145525,0.2772689182402737
LUArm,0.16137162562034835,0.13542253490137107,0.1372278889933578
LFArm,0.11599716794024637,0.16302030635001735,0.11590740387123175
LHand,0.06874454061263616,0.10238186599131603,0.06508933863842362
RShoulder,0.3365179777427628,0.335701710744614,0.32545566404704435
RUArm,0.14916771594799877,0.15285512019868094,0.13734581451419195
RFArm,0.22798754192267964,0.25463507595301155,0.20070489838406277
RHand,0.06676410832097153,0.08998317509376343,0.045815600856147845
LThigh,0.1802270694444915,0.18569089258430535,0.17035282093234555
LShin,0.3133075788414892,0.292767945250456,0.2686324001502352
LFoot,0.18134708125315904,0.24383387000295959,0.21819921957279087
LToe,0.12309372724426992,0.16752998713133935,0.15173795604613485
RThigh,0.1786792473933577,0.18492292016736062,0.16589613660688363
RShin,0.2561390942556407,0.27035923254652167,0.22999837152549554
RFoot,0.3051668932751044,0.312590596256981,0.28765560474053087
RToe,0.18304387076993958,0.18267847717807326,0.1676662192622203
Hip,0.9340987929004282,0.9653967897474538,0.9524803021552779
Ab,0.33543120949760663,0.364981366402981,0.35260446621178765
Chest,0.3360251959399773,0.36382666525272117,0.3534531159039059
Neck,0.34470421420320124,0.35513948746013174,0.33575396541592395
Head,0.3389947092564366,0.348635920510716,0.3298428719461213
Acceleration,0.05726628906491651,0.053786249864116155,0.05315086282796394
Velocity,0.050779014353583715,0.049110323084731254,0.04925756009484508
Position,0.047680181189741655,0.04765883547248502,0.04767190123447377
Joint Angle,0.5738531087512118,0.5943079604727537,0.5830026798079657
rotation,0.7463888093207969,0.8069837614956828,0.7023128459098489
Overall,0.3970344952552693,0.4273212984840839,0.3749923735721613
