Column,pre,main,post
LShoulder,0.21903991218144087,0.22758243699819564,0.22310904115864955
LUArm,0.14725455459135775,0.13949202814460093,0.12510525509613915
LFArm,0.24328695013744453,0.2318618938788725,0.17353730316539145
LHand,0.12956629839394937,0.13894648857106004,0.11306837228317848
RShoulder,0.2065037412891028,0.20297182024172353,0.19923820914976456
RUArm,0.26411351611393474,0.24590816893057083,0.25493545420743385
RFArm,0.15980501895861926,0.13633171308455233,0.1409738682773175
RHand,0.17632115764417552,0.1690126300388008,0.15829229445506393
LThigh,0.19379514502943992,0.17938081276957585,0.16713891472651826
LShin,0.3148729463040234,0.29827916176059516,0.26376692550457814
LFoot,0.23941535018617563,0.28880282005853936,0.2349262510637316
LToe,0.14287373106613055,0.15906120959707792,0.13893694582159122
RThigh,0.19290865547345754,0.18553472904526375,0.17018626787611876
RShin,0.33278521221588964,0.3110018841762564,0.268937285645829
RFoot,0.2814317452467797,0.2933490994497365,0.2905727302880997
RToe,0.18075424924659134,0.1778575853638721,0.16451043409671434
Hip,0.9195543188146937,0.9216995142143333,0.9132048751030197
Ab,0.31765006500532506,0.3209865010321476,0.31250838397091724
Chest,0.3151580588396068,0.31429953560221346,0.30690223245392667
Neck,0.3723760397292718,0.36005019617288936,0.34829936476414114
Head,0.36511709181204216,0.3560811448535172,0.3425471007459791
Acceleration,0.06677705202345512,0.06741521813336644,0.0691418099776546
Velocity,0.0597140714676308,0.05969357112194186,0.0600372740070507
Position,0.04776058613244484,0.047807836343082284,0.04766629060903469
Joint Angle,0.4813080368865534,0.5003351918427068,0.4519406160190842
rotation,0.8551577217711956,0.8256176791595657,0.7637054130883832
Overall,0.4514591539518203,0.43671275775132407,0.405685851848709
